Joke_Id,Text,Type 1,Type 2,Type 3,Type 4,Type 5,Score
49,"  A Joke    A guy goes into confession and says to the priest, ""Father, I'm 80 yearsold, widower, with 11 grandchildren. Last night I met two beautiful flightattendants. They took me home and I made love to both of them. Twice.""The priest said: ""Well, my son, when was the last time you were inconfession?"" ""Never Father, I'm Jewish."" ""So then, why are you telling me?"" ""I'm telling everybody.""",situational,irony,jew,,,4.56
26," Joke 27   Clinton returns from a vacation in Arkansas and walks down  thesteps of Air Force One with two pigs under his arms.  At the bottomof the steps, he says  to the honor guardsman, ""These are genuineArkansas Razor-Back Hogs.  I got this one for Chelsea and this one forHillary.""  The guardsman replies, ""Nice trade, Sir.""",situational,language,relationship,politics,,4.13
28," Joke 29   An old Scotsmen is sitting with a younger Scottish gentleman and says the boy. ""Ah, lad look out that window. You see that stone wall there, I built it withme own bare hands, placed every stone meself.  But do they call me MacGregor thewall builder? No! He Takes a few sips of his beer then says, ""Aye, and look out on that lake and eye that beautiful pier. I built it meself, laid every board and hammered eachnail but do they call me MacGregor the pier builder? No! He continues...""And lad, you see that road? That too I build with me own bare hands. Laid every inch of pavement meself, but do they call MacGregor the roadbuilder? No!""Again he returns to his beer for a few sips, then says, ""Agh, but you screw one sheep...""",situational,sex,surreal,,,3.88
35," Joke 36   A guy walks into a bar, orders a beer and says to the bartender,""Hey, I got this great Polish Joke..."" The barkeep glares at him and says in a warning tone of voice:""Before you go telling that joke you better know that I'm Polish, bothbouncers are Polish and so are most of my customers""""Okay"" says the customer,""I'll tell it very slowly."" ",situational,bar,insult,irony,,3.83
31," Joke 32   A man arrives at the gates of heaven. St. Peter asks, ""Religion?"" The man says, ""Methodist."" St. Peter looks down his list, and says, ""Go to room 24, but be very quiet as you pass room 8."" Another man arrives at the gates of heaven. ""Religion?""""Baptist."" ""Go to room 18, but be very quiet as you pass room 8."" A third man arrives at the gates. ""Religion?"" ""Jewish.""""Go to room 11, but be very quiet as you pass room 8."" The man says, ""I can understand there being different rooms for different religions, but whymust I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8, and they think they're the only ones here.",situational,religion,,,,3.83
52,"  A Joke    One Sunday morning William burst into the living room and said,""Dad! Mom! I have some great news for you! I am getting marriedto the most beautiful girl in town. She lives a block away andher name is Susan.""After dinner, William's dad took him aside. ""Son, I have to talkwith you. Your mother and I have been married 30 years.. She's awonderful wife but she has never offered much excitement in thebedroom, so I used to fool around with women a lot. Susan isactually your half-sister, and I'm afraid you can't marry her.""William was heart-broken. After eight months he eventuallystarted dating girls again. A year later he came home and veryproudly announced, ""Dianne said yes! We're getting married inJune.""Again his father insisted on another private conversation andbroke the sad news. ""Dianne is your half-sister too, William. I'mawfully sorry about this.""William was furious! He finally decided to go to his mother withthe news.""Dad has done so much harm.. I guess I'm never going to getmarried,""  he complained. ""Every time I fall in love, Dad tellsme the girl is my half-sister.""His mother just shook her head. ""Don't pay any attention to whathe says, dear. He's not really your father.""",situational,sex,relationship,,,3.83
34," Joke 35   An explorer in the deepest Amazon suddenly finds himself surroundedby a bloodthirsty group of natives. Upon surveying the situation, hesays quietly to himself, ""Oh God, I'm screwed."" The sky darkens and a voice booms out, ""No, you are NOTscrewed. Pick up that stone at your feet and bash in the head of thechief standing in front of you."" So with the stone he bashes the life out of the chief. Standing abovethe lifeless body, breathing heavily looking at 100 angry natives... The voice booms out again, ""Okay ..... NOW you're screwed."" ",situational,irony,,,,3.74
61,"  A Joke    A group of  managers were given the assignment to measure theheight of a flagpole. So they go out to the flagpole with laddersand tape measures, and they're falling off the ladders, droppingthe tape measures - the whole thing is just a mess.An engineer comes along and sees what they're trying to do,walks over, pulls the flagpole out of the ground, lays it flat,measures it from end to end, gives the measurement to one of themanagers and walks away.After the engineer has gone, one manager turns to another andlaughs. ""Isn't that just like an engineer, we're looking for the height and he gives us the length.""",situational,jobs,,,,3.3
88,"  A Joke  A radio conversation of a US naval ship with Canadian authorities ... Americans: Please divert your course 15 degrees to the North to avoid acollision.Canadians: Recommend you divert YOUR course 15 degrees to the South to avoid a collision.Americans: This is the Captain of a US Navy ship.  I say again, divert YOUR course.Canadians: No.  I say again, you divert YOUR course.Americans: This is the aircraft carrier USS LINCOLN, the second largest ship in the United States' Atlantic Fleet. We are accompanied by three destroyers, three cruisers and numerous support vessels. I demand that you change your course 15 degrees north, that's ONE FIVE DEGREES NORTH, or counter-measures will be undertaken to ensure the safety of this ship.Canadians: This is a lighthouse.  Your call.",situational,america,,,,2.9783083742878587
48,"  A Joke    Three engineering students were gathered together discussing thepossible designers of the human body.  One said, ""It was a mechanical engineer. Just look at all the joints.""  Another said, ""No, it was an electrical engineer.  The nervous systems many thousands of electricalconnections.""  The last said, ""Actually it was a civil engineer. Who else would run a toxic waste pipeline through a recreational area?""",situational,insult,science,,,2.9509383128773856
65,"  A Joke    A lawyer opened the door of his BMW, when suddenly a car came alongand hit the door, ripping it off completely.  When the police arrivedat the scene, the lawyer was complaining bitterly about the damage tohis precious BMW.  ""Officer, look what they've done to my Beeeeemer!!!"", he whined.  ""You lawyers are so materialistic, you makeme sick!!!""  retorted the officer.  ""You're so worried about yourstupid BMW, that you didn't even notice that your left arm was rippedoff!!!""  ""Oh my gaaaad..."", replied the lawyer, finally noticing thebloody left shoulder where his arm once was.  ""Where's myRolex???!!!!""",situational,jobs,insult,,,2.86
