Text,Type 1,Type 2,Type 3,Type 4,Type 5,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Overall
" Joke 1 of 25 A man visits the doctor. The doctor says ""I have bad news for you.You havecancer and Alzheimer's disease"". The man replies ""Well,thank God I don't have cancer!""",situational,disease,,,,0.7333155136983533,1.5604863820456922,0.3868884984478088,2.86,-1.308704094144784,1.5
" Joke 2 of 25   This couple had an excellent relationship going until one day he came homefrom work to find his girlfriend packing. He asked her why she was leaving himand she told him that she had heard awful things about him. ""What could they possibly have said to make you move out?"" ""They told me that you were a pedophile."" He replied, ""That's an awfully big word for a ten year old."" ",situational,irony,crime,relationship,,-0.05,1.1683413885875358,0.010258369719611249,2.511178840734104,-2.0079841404018466,1.0439512268624682
 Joke 3   Q. What's 200 feet long and has 4 teeth? A. The front row at a Willie Nelson Concert.,question,age,insult,,,-0.055964800700036954,1.175131595305173,0.03982547285619353,2.491180992336713,-1.8157003207946005,1.02
 Joke 4   Q. What's the difference between a man and a toilet? A. A toilet doesn't follow you around after you use it.,question,gender,,,,-2.48,0.3093372386013949,-0.7633294280652718,1.6200156806303803,-2.8056219381867296,-0.012287761398605102
" Joke 5   Q.	What's O. J. Simpson's Internet address? A.	Slash, slash, backslash, slash, slash, escape.",question,crime,,,,0.83,1.17,-2.14,3.25,-4.71,0.92
" Joke 6   Bill & Hillary are on a trip back to Arkansas. They're almost out of gas, so Bill pulls into a service station on the outskirts oftown. The attendant runs out of the station to serve them when Hillary realizes it's an old boyfriend from high school. She andthe attendant chat as he gases up their car and cleans the windows. Then they all say good-bye. As Bill pulls the car onto the road, he turns to Hillary and says, 'Now aren't you glad you married me and not him ? You could'vebeen the wife of a grease monkey !' To which Hillary replied, 'No, Bill. If I would have married him, you'd be pumping gas and he would be the President !' ",situational,politics,,,,0.43645069206017106,1.818493374987,0.6331644276185788,3.16,-1.4421481057432224,1.6609198455752352
 Joke 7   How many feminists does it take to screw in a light bulb?That's not funny.,question,feminist,lightbulb,,,1.02,-0.29,-5.78,2.91,-6.26,-0.24
 Joke 8   Q. Did you hear about the dyslexic devil worshiper? A. He sold his soul to Santa.,question,disease,,,,0.87,-0.73,-4.76,1.36,-4.47,-0.58
" Joke 9   A country guy goes into a city bar that has a dress code, and the maitred' demands he wear a tie. Discouraged, the guy goes to his car to sulk when inspiration strikes: He's got jumper cables in the trunk! So he wrapsthem around his neck, sort of like a string tie (a bulky string tie to besure) and returns to the bar. The maitre d' is reluctant, but says to theguy, ""Okay, you're a pretty resourceful fellow, you can come in... butjust don't start anything""!  ",situational,puns,,,,-0.68,0.7329636811475975,-0.36855805798283736,2.1003714545336316,-2.28,0.5075636811475976
" Joke 10 of 20   Two cannibals are eating a clown, one turns to other and says: ""Does this taste funny to you? ",situational,puns,,,,0.73,1.65,0.5018845273008559,3.06,-1.2051848046829492,1.6
" Joke 11   Q. What do a hurricane, a tornado, and a redneckdivorce all have in common? A. Someone's going to lose their trailer...",question,redneck,relationship,,,0.8485045348951702,2.0026354872761223,0.78,3.396788051378686,-1.1661978460572109,1.9050419913411631
" Joke 12 of 20   A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance,figuring the wind direction and speed. Driving his partner nuts.Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!""The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot.""""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!"" ",situational,relationship,,,,0.39,1.9511079106624887,0.6857782403328182,3.3245385457310546,-1.520789848441153,1.7747686249482029
" Joke 13 of 20   They asked the Japanese visitor if they have elections in hiscountry.  ""Every Morning"" he answers.",situational,language,sex,,,-0.97,-2.33,-5.63,0.68,-6.21,-2.14
" Joke 14   The father was very anxious to marry off his only daughter so he wanted to impress her date. ""Do  you like to screw,"" he says. ""Huh"" replied the surprised first date. ""My daughter she loves to screw and she's good at it, you and her  should go screw,"" carefully explained the father. Now very interested the boy replied, ""Yes, sir."" Minutes later the girl came down the stairs, kissed her father goodbye and the couple left. After only a few minutes she reappeared, furious, dress torn, hair a mess and screamed""Dammit, Daddy, it's the TWIST, get it straight!"" ",situational,sex,language,,,0.15,1.844665038199605,0.6214068928361969,3.2105212653058324,-1.654831298796732,1.6839507524853197
 Joke 15 of 20   Q:  What did the blind person say when given some matzah?A:  Who the hell wrote this?,question,disease,language,jew,,-0.73,-3.16,-6.17,0.29,-6.02,-2.52
 Joke 16 of 20   Q. What is orange and sounds like a parrot?  A. A carrot.,question,pun,,,,-2.91,-4.56,-6.7,-0.39,-6.75,-3.88
 Joke 17 of 20   How many men does it take to screw in a light bulb? One...men will screw anything. ,question,pun,sex,men,,-0.68,-0.63,-3.25,0.68,-4.81,-0.73
" Joke 18   A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which hewrites down the telegram he wishes to send: ""Bow wow wow, Bow wow wow.""The clerk says, ""You can add another 'Bow wow' for the same price.""The dog responded, ""Now wouldn't that sound a little silly?"" ",situational,surreal,,,,0.15,-0.68,-4.51,2.04,-5.19,-0.49
" Joke 19 of 20   Q: If a person who speaks three languages is called ""tri-lingual,"" anda person who speaks two languages is called ""bi-lingual,"" what do calla person who only speaks one language?A: American! ",question,language,america,,,0.83,0.83,-2.96,3.25,-4.76,0.63
 Joke 20 of 20   What's the difference between a MacIntosh and anEtch-A-Sketch? You don't have to shake the Mac to clear the screen. ,question,technology,,,,-1.26,-0.83,-4.9,2.18,-6.31,-0.97
" Joke 21   What's the difference between a used tire and 365 used condoms?One's a Goodyear, the other's a great year.",question,sex,,,,0.97,2.43,0.9947283598837464,4.058899882805269,-1.4416810466819103,2.2661488144292012
" Joke 22   A duck walks into a pharmacy and asks for a condom. The pharmacist says""Would you like me to stick that on your bill?""The duck says: ""What kind of duck do you think I am!""",situational,sex,pun,,,-0.29,1.5381957815879745,0.36803953158797437,3.0051729450495133,-1.7852997541263111,1.3802270315879746
 Joke 23   Q: What is the Australian word for a boomerang that won't   come back? A: A stick,question,language,,,,-0.34,1.1182239845475799,-0.029930777357182192,2.57,-2.093734286129113,0.9655179405915358
 Joke 24   What do you get when you run over a parakeet with a lawnmower? Shredded tweet.,question,technology,pun,,,-2.57,0.1,-0.9534459347478248,1.4398803079749696,-3.01,-0.19
" Joke 25   Two kindergarten girls were talking outside: one said, ""Youwon't believe what I saw on the patio yesterday--a condom!""The second girl asked, ""What's a patio?""",situational,surreal,irony,sex,,-0.53,1.2708932488910745,0.11891772441555004,2.6875118386346646,-2.1426210799173724,1.0705086335064589
" Joke 26   A guy walks into a bar and sits down next to an extremely gorgeous woman.  The first thing he notices about her though, are her pants.  They were skin-tight, high-waisted and had no obvious mechanism (zipper, buttons or velcro) for opening them.After several minutes of puzzling over how she got the pants up over her hips, he finally worked up the nerve to ask her.  ""Excuse me miss, but how do you get into your pants?""""Well,"" she replied, ""you can start by buying me a drink.""",situational,bar,sex,language,,0.0,1.7852013240021034,0.545975133525913,3.236740627223392,-1.94,1.5787608478116273
" Joke 27   Clinton returns from a vacation in Arkansas and walks down  thesteps of Air Force One with two pigs under his arms.  At the bottomof the steps, he says  to the honor guardsman, ""These are genuineArkansas Razor-Back Hogs.  I got this one for Chelsea and this one forHillary.""  The guardsman replies, ""Nice trade, Sir.""",situational,language,relationship,politics,,2.91,4.13,1.7,5.34,-1.17,3.4784022654203124
" Joke 28   A mechanical, electrical and a software engineer from Microsoft weredriving through the desert when the car broke down. The mechanicalengineer said ""It seems to be a problem with the fuel injection system,why don't we pop the hood and I'll take a look at it."" To which theelectrical engineer replied, ""No I think it's just a loose ground wire,I'll get out and take a look."" Then, the Microsoft engineer jumps in.""No, no, no. If we just close up all the windows, get out, wait a fewminutes, get back in, and then reopen the windows everything will workfine.""",situational,technology,,,,0.6403253954958066,1.830436506606918,0.5519724543193361,3.3526433678460372,-1.6207297515630168,1.6595253954958067
" Joke 29   An old Scotsmen is sitting with a younger Scottish gentleman and says the boy. ""Ah, lad look out that window. You see that stone wall there, I built it withme own bare hands, placed every stone meself.  But do they call me MacGregor thewall builder? No! He Takes a few sips of his beer then says, ""Aye, and look out on that lake and eye that beautiful pier. I built it meself, laid every board and hammered eachnail but do they call me MacGregor the pier builder? No! He continues...""And lad, you see that road? That too I build with me own bare hands. Laid every inch of pavement meself, but do they call MacGregor the roadbuilder? No!""Again he returns to his beer for a few sips, then says, ""Agh, but you screw one sheep...""",situational,sex,surreal,,,3.2,3.88,1.21,5.0,-1.41,3.25
 Joke 30   Q: What's the difference between a Lawyer and a Plumber? A: A Plumber works to unclog the system.,question,insult,jobs,,,-1.84,0.7736357884948493,-0.34,2.1802801607892217,-2.6210847243256636,0.4552357884948492
